1_Tps_b3v08 
Chlorobium phaeovibrioides
Clostridium clariflavum
Clostridium saccharobutylicum
Cytobacillus oceanisediminis
Desulfitobacterium dehalogenans
Mallomonas akrokomos
Mallomonas annulata
Melioribacter roseus
Mycobacterium aurum
Mycolicibacterium boenickei
Mycolicibacterium chitae
Mycolicibacterium farcinogenes
Mycolicibacterium fortuitum
Mycolicibacterium phocaicum
Mycolicibacterium sp.
Mycoplasma feriruminatoris
Olivibacter sp.
Oscillospiraceae bacterium
Parvimonas micra
Peptoniphilus harei
Prevotella bivia
Prevotella pallens
Prosthecochloris sp.
Salegentibacter sp.
Sphingobacterium sp.
TPA_asm: Bacteriophage
Thermoactinomyces vulgaris
Thermoclostridium stercorarium
Vallitalea guaymasensis
Vescimonas coprocola
Waddlia chondrophila
Bifidobacterium pseudolongum
Capnocytophaga canimorsus
Caproicibacterium amylolyticum
Cellulophaga lytica
Cohnella sp.
Duncaniella dubosii
Erysipelotrichaceae bacterium
Exiguobacterium sp.
Flintibacter sp.
Intestinimonas butyriciproducens
Macrococcus canis
Macrococcus caseolyticus
Mesonia sp.
Parabacteroides sp.
Porcine picobirnavirus
Rhizobium sp.
Skeletonema dohrnii
Vallitalea pronyensis
Veillonella parvula
Bacteroides zhangwenhongi
Butyrivibrio hungatei
Chromobacterium violaceum
Clostridiales genomosp.
Clostridioides sp.
Coprococcus catus
Dysosmobacter sp.
Dysosmobacter welbionis
Granulicatella adiacens
Macrococcus sp.
Pandoraea pnomenusa
Prevotella maculosa
Selenomonas sp.
Anaerococcus prevotii
Bifidobacterium pseudocatenulatum
Brevibacterium linens
Brevundimonas vesicularis
Clostridium beijerinckii
Clostridium bolteae
Clostridium sporogenes
Clostridium stercorarium
Collinsella sp.
Coprococcus sp.
Desulfitobacterium dichloroeliminans
Leptotrichia sp.
Leptotrichia trevisanii
Parabacteroides merdae
Pseudobutyrivibrio xylanivorans
Schleiferilactobacillus harbinensis
Synthetic bacterium
Wolbachia pipientis
Agrobacterium tumefaciens
Coriobacterium glomerans
Ensifer adhaerens
